id,SCOREMARGIN,Unnamed: 0,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
41,-8,56,Jump Shot,5.117073013207844,201967.0,Dante Cunningham,27.76412,9.89092,Made Shot,20151031,396,21500035,Shot Chart Detail,0.0,NOP,29,5,3,3,201939,Stephen Curry,Regular,49,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:3:49,GSW
42,-8,57,Driving Layup Shot,13.238523406029845,202337.0,Luke Babbitt,0.53256,20.8973,Made Shot,20151031,407,21500035,Shot Chart Detail,0.0,NOP,8,10,2,3,201939,Stephen Curry,Regular,40,1,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500035:3:2:40,GSW
43,-12,58,Layup Shot,31.189194833090834,202337.0,Luke Babbitt,0.02564,25.02181,Made Shot,20151031,414,21500035,Shot Chart Detail,0.0,NOP,26,7,1,3,201939,Stephen Curry,Regular,34,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500035:3:1:34,GSW
44,-12,59,Driving Layup Shot,4.019514638410959,201962.0,Toney Douglas,10.3575,36.29416,Made Shot,20151031,418,21500035,Shot Chart Detail,0.0,NOP,13,33,1,3,201939,Stephen Curry,Regular,1,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500035:3:1:01,GSW
45,-15,60,Jump Shot,8.764929767944519,202337.0,Luke Babbitt,39.62514,17.09881,Made Shot,20151031,421,21500035,Shot Chart Detail,0.0,NOP,47,19,0,3,201939,Stephen Curry,Regular,39,1,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:0:39,GSW
46,-14,61,Jump Shot,15.187538876371642,203076.0,Anthony Davis,31.70645,26.44328,Missed Shot,20151031,426,21500035,Shot Chart Detail,0.0,NOP,46,28,0,3,201939,Stephen Curry,Regular,9,1,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:0:09,GSW
47,-13,62,Step Back Jump shot,12.713254268840851,201569.0,Eric Gordon,20.90744,44.08387,Made Shot,20151031,493,21500035,Shot Chart Detail,0.0,NOP,30,52,6,4,201939,Stephen Curry,Regular,9,1,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500035:4:6:09,GSW
48,-13,63,Jump Shot,15.561254282736977,201569.0,Eric Gordon,16.14374,30.54312,Missed Shot,20151031,495,21500035,Shot Chart Detail,0.0,NOP,26,19,5,4,201939,Stephen Curry,Regular,44,1,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500035:4:5:44,GSW
49,-13,64,Fadeaway Jump Shot,13.091111876078367,201950.0,Jrue Holiday,5.1751,16.54323,Made Shot,20151031,539,21500035,Shot Chart Detail,0.0,NOP,4,3,3,4,201939,Stephen Curry,Regular,13,1,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500035:4:3:13,GSW
50,-12,65,Jump Shot,12.501871937454004,202337.0,Luke Babbitt,43.01483,35.23682,Made Shot,20151031,556,21500035,Shot Chart Detail,0.0,NOP,54,29,2,4,201939,Stephen Curry,Regular,11,1,29,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:4:2:11,GSW
