,Unnamed: 0,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,season_type,time,SCOREMARGIN,homeTeam,defender_id,defender_name,defender_x_loc,defender_y_loc,defender_distance
50,65,Shot Chart Detail,21500035,556,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,37,32,1,1,20151031,NOP,GSW,Regular,0021500035:4:2:11,-12,0.0,202337.0,Luke Babbitt,32.81687,33.92228,5.111022385491966
51,66,Shot Chart Detail,21500035,570,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,3,-1,1,0,20151031,NOP,GSW,Regular,0021500035:4:1:00,-16,0.0,202337.0,Luke Babbitt,10.11948,0.35225,7.005770296562683
52,67,Shot Chart Detail,21500035,573,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,0,40,1,0,20151031,NOP,GSW,Regular,0021500035:4:0:34,-13,0.0,203076.0,Anthony Davis,10.09847,36.99222,10.550624785371719
53,68,Shot Chart Detail,21500051,11,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,33,49,1,1,20151102,GSW,MEM,Regular,0021500051:1:10:36,3,1.0,201144.0,Mike Conley,16.61203,47.03953,16.569932324354856
54,69,Shot Chart Detail,21500051,17,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,34,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,17,35,1,1,20151102,GSW,MEM,Regular,0021500051:1:9:34,4,1.0,201144.0,Mike Conley,18.44787,37.91562,2.538235774411034
55,70,Shot Chart Detail,21500051,29,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,41,23,1,0,20151102,GSW,MEM,Regular,0021500051:1:8:05,1,1.0,2754.0,Tony Allen,31.33776,34.94132,15.47712560487896
56,71,Shot Chart Detail,21500051,46,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,39,37,1,0,20151102,GSW,MEM,Regular,0021500051:1:6:14,TIE,1.0,201584.0,Courtney Lee,28.87248,49.27367,15.749785652192225
57,72,Shot Chart Detail,21500051,108,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,31,7,1,0,20151102,GSW,MEM,Regular,0021500051:1:0:59,-3,1.0,2757.0,Beno Udrih,28.89873,12.51632,5.723827330903685
58,73,Shot Chart Detail,21500051,122,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,6,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,22,1,0,20151102,GSW,MEM,Regular,0021500051:1:0:06,-1,1.0,203210.0,JaMychal Green,11.84126,22.27712,0.10679480230797601
59,74,Shot Chart Detail,21500051,225,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,34,2,1,0,20151102,GSW,MEM,Regular,0021500051:2:2:48,13,1.0,2754.0,Tony Allen,23.86227,1.08984,11.154445234237334
60,75,Shot Chart Detail,21500051,236,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,34,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,18,14,1,1,20151102,GSW,MEM,Regular,0021500051:2:2:34,13,1.0,201144.0,Mike Conley,19.24261,13.55695,1.123042402405181
61,76,Shot Chart Detail,21500051,289,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,0,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,79,46,1,1,20151102,GSW,MEM,Regular,0021500051:3:10:00,21,1.0,2216.0,Zach Randolph,79.74958,40.11642,6.2830696942259046
62,77,Shot Chart Detail,21500051,297,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,5,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,66,8,1,1,20151102,GSW,MEM,Regular,0021500051:3:9:05,24,1.0,201144.0,Mike Conley,65.93797,9.10457,0.3841048825516172
63,78,Shot Chart Detail,21500051,313,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,49,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,86,21,1,0,20151102,GSW,MEM,Regular,0021500051:3:7:49,29,1.0,203210.0,JaMychal Green,85.0228,25.35927,4.362510673110151
64,79,Shot Chart Detail,21500051,326,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,43,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,77,33,1,1,20151102,GSW,MEM,Regular,0021500051:3:6:43,32,1.0,201584.0,Courtney Lee,78.58881,36.55469,3.6400764832074586
65,80,Shot Chart Detail,21500051,331,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,28,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,83,45,1,1,20151102,GSW,MEM,Regular,0021500051:3:6:28,35,1.0,203210.0,JaMychal Green,90.73044,29.04042,18.356195359567295
66,81,Shot Chart Detail,21500051,339,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,79,47,1,1,20151102,GSW,MEM,Regular,0021500051:3:5:32,36,1.0,2440.0,Matt Barnes,89.1108,45.76824,9.326192950357605
67,82,Shot Chart Detail,21500051,344,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,90,51,1,1,20151102,GSW,MEM,Regular,0021500051:3:4:58,39,1.0,201144.0,Mike Conley,90.07874,51.97074,0.0
68,83,Shot Chart Detail,21500051,380,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,80,22,1,1,20151102,GSW,MEM,Regular,0021500051:3:2:33,42,1.0,201188.0,Marc Gasol,87.95433,24.41249,7.841500639903052
