203083,Andre Drummond
203934,Lamar Patterson
201577,Robin Lopez
203382,Aron Baynes
202687,Bismack Biyombo
202390,Gary Neal
203114,Khris Middleton
200779,Steve Novak
201937,Ricky Rubio
201961,Wayne Ellington
203903,Jordan Clarkson
201147,Corey Brewer
203584,Troy Daniels
202694,Marcus Morris
203501,Tim Hardaway Jr.
203084,Harrison Barnes
101108,Chris Paul
201973,Jonas Jerebko
101145,Monta Ellis
203458,Alex Len
201143,Al Horford
201599,DeAndre Jordan
1626168,Trey Lyles
1626181,Norman Powell
203552,Seth Curry
202330,Gordon Hayward
202683,Enes Kanter
203939,Dwight Powell
202357,Nemanja Bjelica
1626148,Anthony Brown
2585,Zaza Pachulia
1626175,Jordan Mickey
202340,Avery Bradley
201158,Marco Belinelli
2546,Carmelo Anthony
1626163,Frank Kaminsky
202339,Eric Bledsoe
1626202,Joe Young
204038,Langston Galloway
203463,Ben McLemore
203462,Archie Goodwin
203915,Spencer Dinwiddie
203925,Joe Harris
202344,Trevor Booker
202692,Alec Burks
201569,Eric Gordon
203148,Brian Roberts
201202,Joel Anthony
204067,Jarell Eddie
1626161,Willie Cauley-Stein
201967,Dante Cunningham
203524,Solomon Hill
203512,Lucas Nogueira
203500,Steven Adams
2210,Richard Jefferson
201941,Jordan Hill
2216,Zach Randolph
202734,E'Twaun Moore
203459,Allen Crabbe
203109,Jae Crowder
202718,Chandler Parsons
101161,Amir Johnson
1626209,Mario Hezonja
203110,Draymond Green
201939,Stephen Curry
201585,Kosta Koufos
2399,Mike Dunleavy
203115,Will Barton
2594,Kyle Korver
203473,Dewayne Dedmon
203089,John Henson
203932,Aaron Gordon
203186,Willie Reed
1626147,Justin Anderson
202693,Markieff Morris
1626178,Rondae Hollis-Jefferson
203521,Matthew Dellavedova
1626273,Marcelo Huertas
2548,Dwyane Wade
203530,Joffrey Lauvergne
202702,Kenneth Faried
203504,Trey Burke
202391,Jeremy Lin
101187,Alan Anderson
201627,Anthony Morrow
201188,Marc Gasol
201574,Jason Thompson
203486,Mason Plumlee
203894,Shabazz Napier
201943,Brandon Jennings
2571,Leandro Barbosa
202335,Patrick Patterson
203488,Mike Muscala
203210,JaMychal Green
1626144,Emmanuel Mudiay
200768,Kyle Lowry
1626246,Boban Marjanovic
1626176,Rakeem Christmas
2200,Pau Gasol
2747,JR Smith
101123,Gerald Green
202720,Jon Leuer
201950,Jrue Holiday
201593,Nikola Pekovic
101112,Channing Frye
203546,Ian Clark
203901,Elfrid Payton
201563,Michael Beasley
203918,Rodney Hood
200755,JJ Redick
200826,J.J. Barea
1626191,Chris McCullough
202337,Luke Babbitt
204025,Tim Frazier
201589,Darrell Arthur
2756,Sasha Vujacic
203090,Maurice Harkless
203087,Jeremy Lamb
202730,Lavoy Allen
203490,Otto Porter Jr.
201945,Gerald Henderson
203098,John Jenkins
2225,Tony Parker
1718,Paul Pierce
1626154,RJ Hunter
203898,Tyler Ennis
1626245,Cristiano Felicio
203944,Julius Randle
203493,Reggie Bullock
2730,Dwight Howard
201951,Ty Lawson
1626164,Devin Booker
203094,Andrew Nicholson
202326,DeMarcus Cousins
203897,Zach LaVine
1626185,Jarell Martin
1626151,Aaron Harrison
101181,Jose Calderon
201976,Patrick Beverley
101133,Ian Mahinmi
201601,Luc Mbah a Moute
1626192,Pat Connaughton
203085,Austin Rivers
200746,LaMarcus Aldridge
201167,Arron Afflalo
202712,Justin Harper
201962,Toney Douglas
203949,James Michael McAdoo
203924,Jerami Grant
2772,Trevor Ariza
101138,Brandon Bass
2738,Andre Iguodala
2743,Kris Humphries
203922,Glenn Robinson III
203506,Victor Oladipo
202389,Timofey Mozgov
202325,Wesley Johnson
201580,JaVale McGee
2547,Chris Bosh
202708,Norris Cole
201960,DeMarre Carroll
201959,Taj Gibson
203507,Giannis Antetokounmpo
201162,Jared Dudley
202695,Kawhi Leonard
101179,Ronnie Price
203078,Bradley Beal
201567,Kevin Love
201956,Omri Casspi
204060,Joe Ingles
203926,Doug McDermott
203476,Gorgui Dieng
202324,Derrick Favors
2749,Jameer Nelson
202709,Cory Joseph
201177,Josh McRoberts
201584,Courtney Lee
203460,Andre Roberson
203994,Jusuf Nurkic
203998,Bruno Caboclo
2440,Matt Barnes
1626196,Josh Richardson
202083,Wesley Matthews
2555,Nick Collison
203999,Nikola Jokic
200770,Jordan Farmar
101127,Jarrett Jack
203527,Ryan Kelly
101135,David Lee
